repo__npm_pkg,repo__nameWithOwner,repo__hasTestScript,repo__npms_score,data__version,data__hash
uuid,kelektiv/node-uuid,1,0.9365171821421499,8.3.2,ed3240154759b748f6a3b7d545f3b10759ee4ba7
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,1.0.0,84a7f5f45776ae6f98a4d880c2feb2457b521cab
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,2.0.0,c6b2886d296f7a1a080a75a53e24b02c11df9e27
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,2.0.1,da80daf233990057d44030b74caf049a276124fa
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,0.1.0,0e9d93fc9031842739656cab4bd7c91f962f2b63
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,0.1.1,f3540267f9fc4cce63f516f39d758685fc147565
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,0.1.2,a1b23fbe77893034eb4ae543e877ef7648cabec0
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,2.1.0,d93e01abbbca7019b9911aeb698e95f740aed121
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,2.1.1,02cf697c50856f0cd3785f425a2cf819af0e521c
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,2.2.0,42cfd420916245f46739a20235af53fe52d8b084
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,2.3.0,0003ca2ad5626323e7e01d55c646f8622d5a8d81
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,3.0.0,755139ea4005b8139a4470474bc8e0438cb7cc11
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,3.0.1,e39b7cabefb212ec810ef47abc9c4b6c327d71ba
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,3.0.2,6c49ef79609737bac2b496d508806a3d5e37303e
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,3.1.2,1562b9c1f1b37c142bc97e432389a2cc7429ecf1
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,3.2.1,5a2a91d311944134ab3c543bf2717c9debcf6108
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,3.3.0,75a28d37de358f02438dce27bb9bc10d6faae965
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,3.3.1,00ad48b202aab74683b440868c20ad12106d0437
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.0.0,c692ae7928801a6f56372c01bcc2e139a554cd17
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.0.1,edd85b080030d84ab9c11db54b54d09e71155b25
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.0.2,021cacf7ff34a8bf2bfb452c52d6388635b2bf72
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.0.3,28cd7ddc76d38795abb0af0387061b1aa00dd31b
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.0.4,b25d4402dc9c61753addef100350cf0482b5f607
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.0.5,6da7ebc01723ec2fd7744c5c08fa9f338992b2e1
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.1.0,b2f10f231cf8ab195275c489ab4c9653bf023843
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.1.1,7f82a5649202af5e4757d969e54419d38ed57277
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.2.0,b87f2403062efab19ed3350d4b01ba8435a4f32e
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.2.1,356bbcc1a4cb2bbb1c6651b44543a9d2ddfb5aea
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.2.2,97478eb6fcd628e0d679438c88bd64b5079a9122
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.2.3,b33f47341a18a22a02ee1f143a0fa4f22b1d91e1
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.2.4,314e4831d5a0a85edcb084444ce089c16afdcbe2
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.2.5,7f2b526d971f419bf57085ebdb82813cac32bdf7
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.2.6,9869a4bc92c0372b9fc9e2dc3a9a1a861d91bbe0
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,4.2.7,a2bcc62c0dc1dd387a0306340500b59e95a92a10
