repo__npm_pkg,repo__nameWithOwner,repo__hasTestScript,repo__npms_score,data__success_count,data__success_total_rate,data__success_run_rate,data__failure_count,data__failure_total_rate,data__failure_run_rate,data__pending_count,data__pending_total_rate,data__pending_run_rate
execa,sindresorhus/execa,1,0.8256567246119016,32,0.9142857142857143,0.9411764705882353,2,0.05714285714285714,0.058823529411764705,1,0.02857142857142857,0.029411764705882353
set-blocking,yargs/set-blocking,1,0.8253767344849126,1,0.5,0.5,1,0.5,0.5,0,0,0
mixin-deep,jonschlinkert/mixin-deep,1,0.8253381699421594,7,0.5833333333333334,0.7,3,0.25,0.3,2,0.16666666666666666,0.2
q,kriskowal/q,1,0.8252059099029824,19,0.2676056338028169,0.76,6,0.08450704225352113,0.24,46,0.647887323943662,1.84
es6-symbol,medikoo/es6-symbol,1,0.8251335389309957,12,0.9230769230769231,1,0,0,0,1,0.07692307692307693,0.08333333333333333
p-limit,sindresorhus/p-limit,1,0.8250462171921131,8,0.5714285714285714,0.8888888888888888,1,0.07142857142857142,0.1111111111111111,5,0.35714285714285715,0.5555555555555556
process-nextick-args,calvinmetcalf/process-nextick-args,1,0.8244575368488043,9,0.9,0.9,1,0.1,0.1,0,0,0
ee-first,jonathanong/ee-first,1,0.8242893954714063,4,0.5,1,0,0,0,4,0.5,1
growl,tj/node-growl,1,0.8242538060087972,3,0.125,0.75,1,0.041666666666666664,0.25,20,0.8333333333333334,5
camelcase-keys,sindresorhus/camelcase-keys,1,0.8241113018632815,17,0.9444444444444444,1,0,0,0,1,0.05555555555555555,0.058823529411764705
cli-cursor,sindresorhus/cli-cursor,1,0.8241071405534879,7,1,1,0,0,0,0,0,0
longest,jonschlinkert/longest,1,0.8239870166963319,4,0.4444444444444444,1,0,0,0,5,0.5555555555555556,1.25
hoek,hapijs/hoek,1,0.8239264537256812,95,0.8482142857142857,0.9223300970873787,8,0.07142857142857142,0.07766990291262135,9,0.08035714285714286,0.08737864077669903
is-windows,jonschlinkert/is-windows,1,0.823433617879159,5,0.8333333333333334,1,0,0,0,1,0.16666666666666666,0.2
glob-stream,gulpjs/glob-stream,1,0.823327226257411,2,0.043478260869565216,1,0,0,0,44,0.9565217391304348,22
sntp,hueniverse/sntp,1,0.8232740469826725,17,0.5666666666666667,0.6538461538461539,9,0.3,0.34615384615384615,4,0.13333333333333333,0.15384615384615385
error-ex,Qix-/node-error-ex,1,0.8230826334263271,15,0.9375,0.9375,1,0.0625,0.0625,0,0,0
postcss-cssnext,MoOx/postcss-cssnext,1,0.8230696571700908,8,0.42105263157894735,0.5714285714285714,6,0.3157894736842105,0.42857142857142855,5,0.2631578947368421,0.35714285714285715
es6-promisify,digitaldesignlabs/es6-promisify,1,0.822631464560007,7,0.4375,1,0,0,0,9,0.5625,1.2857142857142858
crc,alexgorbatchev/node-crc,1,0.8222946135007722,5,0.21739130434782608,0.5,5,0.21739130434782608,0.5,13,0.5652173913043478,1.3
jasmine,jasmine/jasmine-npm,1,0.8222342912574638,29,0.90625,1,0,0,0,3,0.09375,0.10344827586206896
pkg-dir,sindresorhus/pkg-dir,1,0.8221595284558838,6,0.8571428571428571,1,0,0,0,1,0.14285714285714285,0.16666666666666666
throat,ForbesLindesay/throat,1,0.8220633235661011,5,0.45454545454545453,0.5,5,0.45454545454545453,0.5,1,0.09090909090909091,0.1
os-locale,sindresorhus/os-locale,1,0.821869345398377,15,1,1,0,0,0,0,0,0
